"Mun US Noti MT","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Semana 43","Semana 44","Semana 45","Semana 46","Semana 47","Semana 48","Semana 49","Semana 50","Semana 51","Semana 52","Total"
"510010 Acorizal",0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13,10,10,2,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
"510020 Água Boa",1,6,7,14,15,30,30,14,21,24,9,13,19,1,16,17,10,4,6,7,6,6,3,21,0,1,1,0,0,1,1,3,0,1,2,0,3,0,1,2,1,1,0,0,1,0,1,4,0,0,0,0,324
"510025 Alta Floresta",2,10,5,7,9,2,6,6,4,18,16,17,51,44,68,35,36,20,24,8,13,6,6,9,9,3,2,9,4,3,1,3,5,7,2,0,6,3,6,9,1,7,4,4,10,8,11,8,9,7,0,3,566
"510030 Alto Araguaia",0,5,2,1,0,1,1,0,2,1,0,3,5,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,34
"510035 Alto Boa Vista",0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"510040 Alto Garças",2,0,0,1,0,0,0,1,2,2,5,3,5,4,2,1,2,1,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,1,2,0,0,0,0,2,1,2,1,0,1,55
"510050 Alto Paraguai",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7
"510060 Alto Taquari",0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,3,7,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,26
"510080 Apiacás",0,0,1,4,0,2,0,0,3,1,3,10,3,3,6,4,7,5,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,58
"510100 Araguaiana",2,1,1,2,2,1,4,1,1,3,1,3,1,1,1,4,8,1,0,1,0,1,0,0,0,2,1,1,1,3,0,0,2,1,0,0,3,0,2,2,0,1,1,2,1,1,3,1,0,2,1,2,73
"510120 Araguainha",0,0,0,0,2,0,0,1,2,0,1,0,2,2,6,2,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
