"Mun US Noti MT","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Semana 43","Semana 44","Semana 45","Semana 46","Semana 47","Semana 48","Semana 49","Semana 50","Semana 51","Semana 52","Total"
"510785 São Félix do Araguaia",1,3,3,0,0,4,4,4,0,1,0,0,0,1,1,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"510729 São José do Povo",0,0,0,0,0,0,1,0,0,1,1,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13
"510730 São José do Rio Claro",0,1,0,2,0,0,3,2,4,1,1,4,4,2,8,16,12,9,12,9,8,3,3,2,6,3,4,1,2,1,1,1,1,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,1,0,0,0,133
"510735 São José do Xingu",0,0,0,3,3,1,0,1,4,1,0,0,0,0,0,1,0,0,0,0,7,4,2,3,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41
"510710 São José dos Quatro Marcos",1,3,0,1,0,1,0,2,16,5,6,6,19,1,1,84,147,61,45,43,30,16,4,2,4,2,4,2,2,2,7,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522
"510740 São Pedro da Cipa",0,0,0,0,4,1,6,5,3,9,6,12,1,4,6,10,2,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,90
"510787 Sapezal",0,1,1,6,3,5,11,20,11,24,14,18,14,14,9,12,4,5,5,3,2,1,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,1,1,2,0,1,203
"510788 Serra Nova Dourada",0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"510790 Sinop",1,2,6,7,12,9,5,23,12,21,24,35,20,41,52,33,26,21,36,76,34,19,14,15,19,17,22,15,10,12,11,15,6,9,7,5,3,2,8,2,2,0,1,7,3,5,7,8,10,18,9,26,803
"510792 Sorriso",7,0,2,6,9,5,12,41,22,35,23,25,20,40,36,57,70,84,85,98,66,54,55,46,90,36,50,31,18,19,29,11,3,7,10,10,1,0,0,2,0,1,1,0,1,1,0,1,0,0,9,6,1235
"510794 Tabaporã",0,0,1,1,0,0,2,2,7,1,1,1,7,6,6,8,13,8,3,12,2,1,2,1,1,5,4,1,1,0,1,1,1,2,2,0,0,0,2,2,5,1,1,1,0,2,1,0,0,0,0,0,119
"510795 Tangará da Serra",43,36,65,181,352,481,429,490,356,383,349,178,168,192,102,9,97,9,9,5,4,185,8,8,5,3,7,1,0,0,3,1,1,0,1,2,1,0,0,0,0,0,0,4,0,0,4,11,3,6,7,5,4204
"510800 Tapurah",0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,15
"510805 Terra Nova do Norte",6,31,26,23,20,21,11,18,26,33,13,15,32,13,17,19,16,4,5,0,0,2,1,1,0,1,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,2,1,1,1,0,371
"510810 Tesouro",0,0,0,3,5,1,0,9,14,4,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"510820 Torixoréu",0,0,2,1,0,0,0,1,3,2,2,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,1,27
"510830 União do Sul",0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,2,2,4,7,5,5,5,1,11,4,0,2,4,1,2,4,3,4,3,1,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,6,0,87
"510835 Vale de São Domingos",0,1,0,0,0,0,0,0,0,1,2,0,0,2,0,6,6,1,0,3,0,0,5,2,4,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42
"510840 Várzea Grande",3,2,5,6,6,4,25,32,25,46,44,53,30,36,44,49,20,57,55,64,57,23,19,40,34,34,21,20,22,28,42,42,24,16,32,24,21,23,14,10,10,5,3,10,7,12,4,13,12,17,28,32,1305
"510850 Vera",1,1,0,0,0,0,0,1,0,0,0,0,1,4,2,1,3,3,9,3,10,2,7,3,6,3,4,2,1,1,3,1,3,3,1,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,86
"510550 Vila Bela da Santíssima Trindade",1,2,1,2,6,3,1,4,1,1,0,0,1,0,1,0,1,0,3,2,0,0,1,0,1,1,0,1,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,8,2,2,54
"510860 Vila Rica",3,1,0,4,2,0,1,4,8,3,3,3,2,1,3,2,0,3,1,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,53
"510000 municipio ignorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total",259,566,718,938,1171,1484,1292,1931,1688,1632,1701,1653,1341,1738,1746,1984,2035,2026,2475,2054,1705,1114,952,901,942,638,627,478,304,274,303,264,192,152,154,160,131,128,105,103,84,80,84,106,119,143,184,241,330,403,683,585,43101
