"Mun US Noti MT","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Semana 43","Semana 44","Semana 45","Semana 46","Semana 47","Semana 48","Semana 49","Semana 50","Semana 51","Semana 52","Total"
"510385 Gaúcha do Norte",0,0,0,1,0,0,0,1,1,0,0,0,6,1,9,6,7,2,10,10,2,2,3,1,1,1,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
"510390 General Carneiro",0,0,1,0,8,29,18,37,4,7,6,10,4,6,8,10,6,0,1,0,1,0,0,4,0,1,4,3,2,3,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,179
"510395 Glória d'Oeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
"510410 Guarantã do Norte",0,0,1,4,0,1,1,1,3,3,5,5,4,2,3,1,1,2,8,8,7,15,10,9,4,2,3,4,0,3,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,124
"510420 Guiratinga",1,2,3,1,4,1,1,6,9,3,0,2,2,3,0,4,1,0,5,4,5,5,2,0,2,6,3,1,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,84
"510450 Indiavaí",0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,3,4,4,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,2,0,30
"510452 Ipiranga do Norte",0,0,0,1,0,0,13,2,3,10,19,6,2,1,3,2,6,6,11,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90
"510454 Itanhangá",0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,2,4,2,2,0,0,3,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,1,32
"510455 Itaúba",2,2,2,0,0,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17
"510460 Itiquira",0,0,0,0,0,0,2,1,2,1,1,0,0,0,4,0,3,0,2,1,1,0,0,1,1,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28
"510480 Jaciara",2,5,5,11,17,7,19,32,29,57,43,46,34,29,20,10,19,18,13,12,8,7,6,7,4,1,0,3,0,0,1,1,0,0,0,1,0,2,0,2,2,4,1,0,0,2,0,1,10,15,7,8,521
"510490 Jangada",0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,3,2,3,2,3,2,2,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"510500 Jauru",0,0,0,0,0,0,1,2,0,0,2,0,1,1,2,1,4,1,7,4,7,1,7,5,5,2,5,2,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,70
"510510 Juara",1,5,1,1,4,5,5,7,5,5,5,4,0,5,2,3,14,2,1,1,0,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,1,3,0,1,0,0,4,0,97
"510515 Juína",0,1,4,1,6,1,3,6,2,14,11,8,9,5,6,8,2,0,5,0,5,2,0,0,3,2,1,2,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,2,0,4,1,123
"510517 Juruena",1,3,3,2,1,1,1,4,1,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,5,3,2,9,13,9,15,5,89
"510520 Juscimeira",0,0,0,0,0,0,4,1,4,5,3,4,1,4,9,8,2,1,3,8,3,3,3,3,2,4,6,1,0,2,3,2,1,0,6,3,3,1,0,0,2,1,3,1,4,18,23,35,2,7,6,1,206
"510523 Lambari d'Oeste",0,0,0,0,0,0,0,6,0,1,1,4,7,9,1,10,5,1,8,11,13,6,11,8,20,9,5,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,152
"510525 Lucas do Rio Verde",6,4,5,5,5,5,8,4,8,10,11,12,6,10,10,9,21,25,19,17,13,13,3,10,10,2,9,7,6,1,5,4,0,1,0,2,0,0,3,0,0,0,0,0,3,2,0,3,5,0,2,2,306
"510530 Luciara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"510558 Marcelândia",0,1,2,2,8,3,11,8,3,6,5,1,4,1,1,20,11,27,18,13,17,2,2,2,4,2,1,1,1,2,0,1,0,0,0,3,0,1,2,1,0,0,0,0,0,1,0,0,0,2,1,5,196
"510560 Matupá",0,0,3,1,0,2,6,7,5,2,9,4,5,5,10,14,8,5,3,7,5,12,8,7,7,4,8,6,6,0,4,1,7,2,1,0,4,1,1,1,3,2,0,0,5,1,1,1,3,1,0,0,198
"510562 Mirassol d'Oeste",0,2,2,1,3,10,11,11,11,7,9,5,12,2,7,17,19,23,33,9,20,4,10,2,7,18,9,8,3,9,12,3,1,1,4,0,3,1,0,0,1,0,0,1,1,4,8,4,3,5,7,15,358
"510590 Nobres",0,0,1,2,0,1,2,0,0,0,0,0,1,2,8,6,0,0,7,1,1,1,3,4,14,1,1,0,0,1,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
"510600 Nortelândia",1,0,0,0,0,0,0,0,0,3,3,0,2,7,13,6,3,18,23,7,0,0,2,1,5,6,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
"510610 Nossa Senhora do Livramento",0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,1,5,1,0,2,0,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,4,6,19,45,22,122
"510615 Nova Bandeirantes",0,0,2,5,4,6,5,8,0,1,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,41
"510617 Nova Nazaré",0,0,0,1,3,3,5,4,5,3,7,7,3,11,10,2,2,3,6,0,2,2,0,0,3,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,88
"510620 Nova Brasilândia",1,4,5,16,1,7,6,15,16,13,7,8,3,2,1,1,1,2,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
"510621 Nova Canaã do Norte",0,0,0,0,1,0,1,0,3,1,3,1,1,1,1,3,0,9,7,7,7,11,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,67
"510880 Nova Guarita",27,54,41,21,13,8,6,6,3,8,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
"510618 Nova Lacerda",0,1,0,0,1,4,3,0,8,10,9,9,25,20,21,12,13,16,0,2,0,0,1,6,8,6,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,191
"510619 Nova Santa Helena",0,1,1,0,0,0,1,5,0,2,6,2,5,1,3,1,3,4,2,6,3,3,2,5,3,4,4,2,2,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"510885 Nova Marilândia",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"510890 Nova Maringá",0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,2,0,4,7,4,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"510895 Nova Monte Verde",0,0,2,0,0,0,1,0,1,5,1,0,0,0,0,0,2,1,1,0,0,6,0,3,8,1,19,18,17,1,17,5,6,0,0,4,0,1,0,0,0,1,2,2,0,4,1,12,7,16,118,70,353
"510622 Nova Mutum",0,5,5,6,6,21,20,23,17,31,68,66,57,91,94,142,140,147,176,205,143,75,64,70,74,38,25,27,9,13,8,9,7,5,2,7,10,8,12,2,3,4,8,6,5,0,4,7,18,6,14,15,2018
"510623 Nova Olímpia",0,6,7,1,3,2,2,5,3,3,1,0,0,3,6,7,7,9,16,11,5,0,0,0,3,2,3,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,113
