"Mun US Noti MT","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Total"
"510270 Canarana",1,2,2,1,4,2,1,0,3,1,2,6,5,3,6,2,10,13,7,13,20,25,17,18,5,10,12,4,6,6,1,3,3,3,0,1,0,3,0,0,1,0,222
"510279 Carlinda",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,10,12,9,3,53
"510285 Castanheira",0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"510300 Chapada dos Guimarães",2,7,8,16,22,42,30,15,13,4,3,8,7,3,6,7,2,2,11,0,1,0,1,0,4,2,0,1,1,0,0,0,0,2,0,0,1,0,1,0,0,0,222
"510305 Cláudia",4,32,19,8,9,4,5,3,5,1,2,2,6,2,3,4,7,1,1,1,8,9,4,4,2,5,3,1,4,6,3,4,1,3,2,4,0,0,0,2,6,0,190
"510310 Cocalinho",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"510320 Colíder",3,11,22,29,22,23,29,41,30,20,40,35,26,17,15,19,15,9,16,14,10,9,7,10,6,2,2,6,3,2,1,0,4,0,2,2,1,3,1,3,2,4,516
"510325 Colniza",0,1,0,0,1,1,6,17,21,4,8,18,9,3,9,3,3,5,4,12,8,10,5,3,1,0,2,0,1,3,0,0,0,3,1,0,1,2,0,0,0,0,165
"510330 Comodoro",0,3,4,4,1,6,12,5,8,1,1,0,8,6,20,16,17,4,12,11,20,7,10,21,8,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214
"510335 Confresa",0,2,0,1,0,3,3,3,4,3,6,4,7,5,6,3,3,3,4,13,8,0,15,9,2,3,2,4,0,1,0,0,0,0,0,0,1,0,1,2,1,0,122
"510336 Conquista D'Oeste",0,0,1,10,3,2,7,6,2,3,1,6,1,1,1,1,4,0,0,1,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,57
"510337 Cotriguaçu",0,1,0,3,1,4,2,2,1,3,3,0,0,1,6,0,3,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38
"510340 Cuiabá",25,119,292,173,167,132,129,57,76,35,41,15,10,19,17,10,9,17,13,12,14,6,8,4,7,6,7,6,6,8,4,4,8,9,3,1,12,6,5,8,4,1,1505
"510343 Curvelândia",1,3,10,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25
"510345 Denise",0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
