municipio,ano,ciclo,classificacao,fonte
Ipiranga do Norte,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Jauru,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Juruena,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Juína,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Lambari D'Oeste,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Marcelândia,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Mirassol d'Oeste,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Nobres,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Nova Bandeirantes,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Nova Guarita,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Nova Ubiratã,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Porto Esperidião,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Querência,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Ribeirãozinho,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Santo Antônio do Leverger,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Sinop,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
São José do Rio Claro,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Tangará da Serra,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Tapurah,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Terra Nova do Norte,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
União do Sul,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Vera,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
Várzea Grande,2025,Jan/2025,Risco,SES-MT Alerta 001/2025
